unix_timestamp,camera_id,vehicle_plate,vehicle_color,vehicle_type,vehicle_features
"2026-08-25T12:16:05",3,AHL-3577,Blue,CHEVY BOLT,"[""Scratched bumper""]"
"2026-08-25T12:24:51",5,AHL-3577,Blue,CHEVY BOLT,"[""Scratched bumper""]"
"2026-08-25T12:24:59",2,AHL-3577,Blue,CHEVY BOLT,"[""Scratched bumper""]"
"2026-08-25T03:11:50",1,FCT-7517,White,STATION WAGON,"[""Dinged hood""]"
"2026-08-25T03:12:15",3,FCT-7517,White,STATION WAGON,"[""Dinged hood""]"
"2026-08-25T07:12:55",1,FCT-7517,White,STATION WAGON,"[""Dinged hood""]"
"2026-08-25T018:15:51",1,FCT-7517,White,STATION WAGON,"[""Dinged hood""]"
"2026-08-26T07:53:35",1,FCT-7517,White,STATION WAGON,"[""Dinged hood""]"
"2026-08-26T018:28:57",1,FCT-7517,White,STATION WAGON,"[""Dinged hood""]"
"2026-08-27T07:53:20",1,FCT-7517,White,STATION WAGON,"[""Dinged hood""]"
"2026-08-27T018:28:06",1,FCT-7517,White,STATION WAGON,"[""Dinged hood""]"
"2026-08-25T00:10:35",2,ZPZ-9918,Gray,VAN,"[""Jesus fish""]"
"2026-08-25T00:11:50",5,ZPZ-9918,Gray,VAN,"[""Jesus fish""]"
"2026-08-25T11:25:02",5,ZPZ-9918,Gray,VAN,"[""Jesus fish""]"
"2026-08-25T06:31:00",3,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-25T06:32:11",4,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-25T06:33:12",3,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-25T06:34:58",4,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-25T06:35:10",3,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-25T06:36:35",4,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-26T06:31:10",3,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-26T06:32:41",4,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-26T06:33:22",3,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-26T06:34:55",4,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-26T06:35:11",3,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-26T06:36:32",4,DPP-3145,Red,WEINERMOBILE,"[""Mustard stains""]"
"2026-08-25T07:16:00",1,HTR-2444,White,KIA OPTIMA,"[""Honor student bumper sticker""]"
"2026-08-25T07:16:15",1,HTR-2444,White,KIA OPTIMA,"[""Honor student bumper sticker""]"
"2026-09-25T11:50:10",1,HTR-2444,White,KIA OPTIMA,"[""Honor student bumper sticker""]"
"2026-09-25T11:50:25",1,HTR-2444,White,KIA OPTIMA,"[""Honor student bumper sticker""]"
1787638470,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787640060,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787640840,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787640870,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787642430,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787642700,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787643720,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787643930,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787645280,2,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787646240,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787647350,4,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787649180,2,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787679030,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787680800,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787681040,4,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787682780,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787683290,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787685090,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787685240,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787686140,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787686800,2,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787687880,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787688930,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787690670,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787691270,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787692770,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787692860,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787696370,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787696700,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787697990,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787698260,2,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787724360,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787725950,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787727270,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787727750,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787728860,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787729790,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787731110,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787731350,2,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787733300,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787734350,4,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787734560,2,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787764680,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787767470,4,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787768160,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787769210,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787769780,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787774220,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787778630,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787779170,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787780250,2,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787780760,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787782290,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787783910,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787811810,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787813400,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787815020,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787818650,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787819670,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787820030,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787821260,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787822340,4,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787852160,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787854890,4,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787856420,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787856630,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787858880,3,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787860620,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787860680,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787862300,2,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787862780,5,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787864340,2,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787868480,2,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787870490,2,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
1787873310,1,KDL-2846,Green,Sedan,"[""Roof rack"", ""Tinted windows""]"
"2026-08-25T06:14:30",1,LU6789,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-25T07:08:00",3,LU6789,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-25T08:21:30",4,LU6789,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-25T09:37:00",2,LU6789,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-25T10:42:30",5,LU6789,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-25T17:16:00",1,LU6789,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-25T18:34:30",3,LU6789,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-25T20:02:00",5,LU6789,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-25T21:27:30",4,LU6789,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-25T23:43:00",2,LU6789,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-26T06:18:30",2,BMT216A,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-26T07:11:00",4,BMT216A,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-26T08:26:30",1,BMT216A,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-26T09:34:00",3,BMT216A,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-26T10:12:30",5,BMT216A,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-26T17:21:00",2,BMT216A,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-26T18:39:30",4,BMT216A,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-26T20:06:00",1,BMT216A,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-26T21:31:30",3,BMT216A,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-26T23:46:00",5,BMT216A,Gray,ASTON MARTIN,"[""Truck nuts"", ""Yosemite Sam mud flap""]"
"2026-08-26T00:05:01",3,EEL-1976,White,FORMULA 1,"[""Flame decals"", ""Aluminum spoiler""]"
"2026-08-26T00:05:05",5,EEL-1976,White,FORMULA 1,"[""Flame decals"", ""Aluminum spoiler""]"
"2026-08-26T00:05:09",3,EEL-1976,White,FORMULA 1,"[""Flame decals"", ""Aluminum spoiler""]"
"2026-08-26T00:05:13",5,EEL-1976,White,FORMULA 1,"[""Flame decals"", ""Aluminum spoiler""]"
"2026-08-26T00:05:17",3,EEL-1976,White,FORMULA 1,"[""Flame decals"", ""Aluminum spoiler""]"
"2026-08-26T00:05:21",5,EEL-1976,White,FORMULA 1,"[""Flame decals"", ""Aluminum spoiler""]"
"2026-08-26T00:05:25",3,EEL-1976,White,FORMULA 1,"[""Flame decals"", ""Aluminum spoiler""]"
"2026-08-27T08:15:59",3,LPC1,White,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T06:09:30",1,LPC1,White,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T06:34:00",3,LPC1,White,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T06:58:30",5,LPC1,White,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T07:14:00",2,LPC1,White,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T07:28:30",4,LPC1,White,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T07:42:00",1,LPC1,White,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T07:53:30",3,LPC1,White,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T08:03:00",5,LPC1,White,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T08:09:30",2,LPC1,White,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T08:15:30",4,LPC1,White,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T08:16:05",5,LPC1,Rainbow,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T08:16:30",2,LPC1,Rainbow,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T08:34:00",4,LPC1,Rainbow,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T09:02:00",1,LPC1,Rainbow,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T09:27:30",3,LPC1,Rainbow,FORD F-150,"[""Banana in tailpipe""]"
"2026-08-27T10:18:00",5,LPC1,Rainbow,FORD F-150,"[""Banana in tailpipe""]"
