unix_timestamp,camera_id,vehicle_plate,vehicle_color,vehicle_type,vehicle_features
1787638230,Hospital,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787638260,Hospital,HYS-9092,Gray,Coupe,"[""Roof rack"", ""Dented rear bumper""]"
1787638560,Hospital,FYR-2853,Gold,SUV,"[""Missing hubcap"", ""Aftermarket exhaust""]"
1787638710,Hospital,IMH-7658,Gray,Hatchback,"[""Tinted windows""]"
1787639100,Office Back Alley,BLF-4771,Gray,Sedan,[]
1787639100,Hospital,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787639520,Hospital,KES-9323,Maroon,Bus,"[""Spoiler"", ""Missing hubcap""]"
1787639760,Office Back Alley,DYT-5541,Maroon,Hatchback,[]
1787639820,Office Back Alley,ZNI-4355,Blue,Coupe,[]
1787639820,Office Back Alley,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787640150,Office Back Alley,EHW-3879,Maroon,Coupe,[]
1787640270,Office Back Alley,EJJ-5605,Red,Bus,"[""Tinted windows"", ""Aftermarket exhaust""]"
1787640300,Office Back Alley,WNV-7840,Red,Motorcycle,"[""Bumper sticker""]"
1787640510,Office Back Alley,BLF-4771,Gray,Sedan,[]
1787640570,Bookstore,TML-3408,Red,Motorcycle,"[""Spoiler"", ""Custom rims""]"
1787640600,Bookstore,EQL-6876,Green,Bus,"[""Cracked windshield""]"
1787640660,Bookstore,VJM-7944,Beige,Sedan,[]
1787640690,Bookstore,QDH-4925,Red,Van,[]
1787640720,Office Back Alley,DYT-5541,Maroon,Hatchback,[]
1787640780,Bookstore,RTJ-3423,Gold,Sedan,[]
1787640900,Bookstore,VKM-8657,Blue,Sedan,"[""Custom rims""]"
1787640900,Bookstore,NVS-7383,Gold,Van,"[""Aftermarket exhaust"", ""Ladder rack""]"
1787640960,Bookstore,TQP-8061,Silver,Hatchback,"[""Tinted windows""]"
1787641020,Bookstore,ABS-2643,Gold,Pickup Truck,"[""Tow hitch"", ""Missing hubcap""]"
1787641110,Bookstore,YTG-6287,Green,Coupe,"[""Bumper sticker"", ""Tow hitch""]"
1787641200,Bookstore,CZA-9416,Black,Bus,[]
1787641320,Office Back Alley,EJJ-5605,Red,Bus,"[""Tinted windows"", ""Aftermarket exhaust""]"
1787641350,Bookstore,IMH-7658,Gray,Hatchback,"[""Tinted windows""]"
1787641380,Bookstore,ZYZ-1012,Beige,Motorcycle,"[""Spoiler""]"
1787641380,Bookstore,EHW-3879,Maroon,Coupe,[]
1787641470,Bookstore,VJM-7944,Beige,Sedan,[]
1787641620,Bookstore,NYF-1596,Silver,Pickup Truck,"[""Bumper sticker""]"
1787641620,Bookstore,HYS-9092,Gray,Coupe,"[""Roof rack"", ""Dented rear bumper""]"
1787641620,Bookstore,TXI-5471,White,Pickup Truck,[]
1787641770,Bookstore,WUB-4659,Black,Pickup Truck,"[""Sunroof""]"
1787642010,Bookstore,FCH-7617,Maroon,Sedan,[]
1787642070,Bookstore,BPU-4332,White,Motorcycle,[]
1787642100,Bookstore,EVV-3567,Blue,SUV,"[""Aftermarket exhaust""]"
1787642100,Office Back Alley,ZNI-4355,Blue,Coupe,[]
1787642130,Bookstore,DOP-3475,Silver,SUV,[]
1787642130,Bookstore,BPU-4332,White,Motorcycle,[]
1787642130,Hospital,BLF-4771,Gray,Sedan,[]
1787642190,Bookstore,UHR-2612,White,Pickup Truck,[]
1787642220,Bookstore,RQA-7745,Red,Motorcycle,"[""Sunroof""]"
1787642250,Bookstore,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787642370,Office Back Alley,BGW-3337,Silver,Bus,"[""Bumper sticker""]"
1787642400,Office Back Alley,VAP-5225,Silver,Hatchback,"[""Cracked windshield"", ""Tinted windows""]"
1787642400,Office Back Alley,EQL-6876,Green,Bus,"[""Cracked windshield""]"
1787642430,Bookstore,XOW-5609,Gray,Sedan,"[""Sunroof"", ""Roof rack""]"
1787642490,Office Back Alley,DOP-3475,Silver,SUV,[]
1787642520,Bookstore,KES-9323,Maroon,Bus,"[""Spoiler"", ""Missing hubcap""]"
1787642550,Bookstore,DYT-5541,Maroon,Hatchback,[]
1787642610,Bookstore,TQP-8061,Silver,Hatchback,"[""Tinted windows""]"
1787642670,Bookstore,ZFD-3277,Green,Hatchback,"[""Bumper sticker"", ""Missing hubcap""]"
1787642700,Office Back Alley,NVS-7383,Gold,Van,"[""Aftermarket exhaust"", ""Ladder rack""]"
1787642700,Bookstore,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787642700,Hospital,FYR-2853,Gold,SUV,"[""Missing hubcap"", ""Aftermarket exhaust""]"
1787642730,Bookstore,EHW-3879,Maroon,Coupe,[]
1787642730,Bookstore,RTJ-3423,Gold,Sedan,[]
1787642730,Bookstore,FHL-3560,Silver,Van,[]
1787642730,Office Back Alley,WNV-7840,Red,Motorcycle,"[""Bumper sticker""]"
1787642760,Office Back Alley,QLL-8894,Black,Coupe,"[""Spoiler"", ""Bumper sticker""]"
1787642790,Bookstore,OYU-1228,Maroon,Bus,[]
1787642910,Office Back Alley,YTG-6287,Green,Coupe,"[""Bumper sticker"", ""Tow hitch""]"
1787642940,Bookstore,DYT-5541,Maroon,Hatchback,[]
1787643000,Office Back Alley,CZA-9416,Black,Bus,[]
1787643030,Bookstore,YJG-1440,Black,Sedan,"[""Tinted windows"", ""Bumper sticker""]"
1787643240,Bookstore,ABS-2643,Gold,Pickup Truck,"[""Tow hitch"", ""Missing hubcap""]"
1787643270,Office Back Alley,VJM-7944,Beige,Sedan,[]
1787643330,Bookstore,VJM-7944,Beige,Sedan,[]
1787643330,Bookstore,BPU-4332,White,Motorcycle,[]
1787643330,Bookstore,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787643420,Office Back Alley,NYF-1596,Silver,Pickup Truck,"[""Bumper sticker""]"
1787643420,Office Back Alley,TXI-5471,White,Pickup Truck,[]
1787643600,Office Back Alley,VAP-5225,Silver,Hatchback,"[""Cracked windshield"", ""Tinted windows""]"
1787643690,Hospital,EQL-6876,Green,Bus,"[""Cracked windshield""]"
1787643810,Bookstore,HUK-4229,White,Coupe,"[""Tinted windows""]"
1787643840,Bookstore,HYS-9092,Gray,Coupe,"[""Roof rack"", ""Dented rear bumper""]"
1787643870,Office Back Alley,BPU-4332,White,Motorcycle,[]
1787643870,Bookstore,VDV-4194,White,Coupe,[]
1787643930,Bookstore,EVV-3567,Blue,SUV,"[""Aftermarket exhaust""]"
1787643960,Hospital,EWE-8741,Blue,Bus,"[""Custom rims""]"
1787644020,Office Back Alley,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787644020,Office Back Alley,RQA-7745,Red,Motorcycle,"[""Sunroof""]"
1787644050,Office Back Alley,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787644050,Bookstore,FCH-7617,Maroon,Sedan,[]
1787644080,Office Back Alley,EHW-3879,Maroon,Coupe,[]
1787644110,Hospital,HQY-7996,Maroon,Motorcycle,[]
1787644140,Hospital,ZNI-4355,Blue,Coupe,[]
1787644170,Bookstore,WUB-4659,Black,Pickup Truck,"[""Sunroof""]"
1787644170,Bookstore,MDL-3261,Blue,Motorcycle,[]
1787644230,Office Back Alley,EQL-6876,Green,Bus,"[""Cracked windshield""]"
1787644260,Bookstore,TQP-8061,Silver,Hatchback,"[""Tinted windows""]"
1787644290,Bookstore,EUA-8367,Gold,Motorcycle,"[""Ladder rack""]"
1787644320,Office Back Alley,FYR-2853,Gold,SUV,"[""Missing hubcap"", ""Aftermarket exhaust""]"
1787644350,Office Back Alley,BGW-3337,Silver,Bus,"[""Bumper sticker""]"
1787644380,Hospital,QLL-8894,Black,Coupe,"[""Spoiler"", ""Bumper sticker""]"
1787644410,Office Back Alley,TQP-8061,Silver,Hatchback,"[""Tinted windows""]"
1787644470,Bookstore,AIT-2702,Blue,Pickup Truck,"[""Dented rear bumper"", ""Tow hitch""]"
1787644470,Bookstore,TBJ-5379,Green,Coupe,"[""Bumper sticker""]"
1787644470,Office Back Alley,EHW-3879,Maroon,Coupe,[]
1787644470,Office Back Alley,ZFD-3277,Green,Hatchback,"[""Bumper sticker"", ""Missing hubcap""]"
1787644500,Bookstore,WNV-7840,Red,Motorcycle,"[""Bumper sticker""]"
1787644500,Bookstore,KNM-8888,Gray,Sedan,"[""Ladder rack"", ""Aftermarket exhaust""]"
1787644500,Office Back Alley,VAP-5225,Silver,Hatchback,"[""Cracked windshield"", ""Tinted windows""]"
1787644500,Office Back Alley,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787644530,Bookstore,LUG-7654,Black,Bus,"[""Bumper sticker""]"
1787644530,Bookstore,CZA-9416,Black,Bus,[]
1787644560,Hospital,LHA-6933,Gray,Bus,"[""Missing hubcap""]"
1787644590,Office Back Alley,IMH-7658,Gray,Hatchback,"[""Tinted windows""]"
1787644590,Office Back Alley,OYU-1228,Maroon,Bus,[]
1787644680,Office Back Alley,NVS-7383,Gold,Van,"[""Aftermarket exhaust"", ""Ladder rack""]"
1787644710,Bookstore,TML-3408,Red,Motorcycle,"[""Spoiler"", ""Custom rims""]"
1787644710,Bookstore,KOE-4072,Beige,Pickup Truck,[]
1787644770,Hospital,RRT-3341,Red,Sedan,"[""Tinted windows"", ""Dented rear bumper""]"
1787644770,Office Back Alley,YTG-6287,Green,Coupe,"[""Bumper sticker"", ""Tow hitch""]"
1787644890,Hospital,OYU-1228,Maroon,Bus,[]
1787644950,Office Back Alley,DOP-3475,Silver,SUV,[]
1787644980,Bookstore,BPU-4332,White,Motorcycle,[]
1787644980,Office Back Alley,ABS-2643,Gold,Pickup Truck,"[""Tow hitch"", ""Missing hubcap""]"
1787645070,Office Back Alley,VJM-7944,Beige,Sedan,[]
1787645100,Hospital,RBG-4071,Blue,Bus,"[""Bumper sticker"", ""Ladder rack""]"
1787645100,Bookstore,IMH-7658,Gray,Hatchback,"[""Tinted windows""]"
1787645130,Office Back Alley,BLF-4771,Gray,Sedan,[]
1787645130,Office Back Alley,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787645130,Bookstore,HQY-7996,Maroon,Motorcycle,[]
1787645160,Office Back Alley,VKM-8657,Blue,Sedan,"[""Custom rims""]"
1787645160,Hospital,EYH-6407,Black,Bus,"[""Custom rims"", ""Tinted windows""]"
1787645190,Bookstore,AIT-2702,Blue,Pickup Truck,"[""Dented rear bumper"", ""Tow hitch""]"
1787645220,Office Back Alley,TXI-5471,White,Pickup Truck,[]
1787645310,Office Back Alley,RQA-7745,Red,Motorcycle,"[""Sunroof""]"
1787645310,Office Back Alley,EQL-6876,Green,Bus,"[""Cracked windshield""]"
1787645400,Office Back Alley,CZA-9416,Black,Bus,[]
1787645430,Office Back Alley,IMH-7658,Gray,Hatchback,"[""Tinted windows""]"
1787645490,Office Back Alley,NYF-1596,Silver,Pickup Truck,"[""Bumper sticker""]"
1787645520,Office Back Alley,VJM-7944,Beige,Sedan,[]
1787645550,Bookstore,FCH-7617,Maroon,Sedan,[]
1787645550,Office Back Alley,NVS-7383,Gold,Van,"[""Aftermarket exhaust"", ""Ladder rack""]"
1787645580,Office Back Alley,ZNI-4355,Blue,Coupe,[]
1787645640,Hospital,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787645640,Office Back Alley,EHW-3879,Maroon,Coupe,[]
1787645670,Office Back Alley,FCH-7617,Maroon,Sedan,[]
1787645700,Office Back Alley,FYR-2853,Gold,SUV,"[""Missing hubcap"", ""Aftermarket exhaust""]"
1787645730,Office Back Alley,HQY-7996,Maroon,Motorcycle,[]
1787645760,Office Back Alley,ZNI-4355,Blue,Coupe,[]
1787645790,Bookstore,UHR-2612,White,Pickup Truck,[]
1787645790,Office Back Alley,TQP-8061,Silver,Hatchback,"[""Tinted windows""]"
1787645790,Office Back Alley,QLL-8894,Black,Coupe,"[""Spoiler"", ""Bumper sticker""]"
1787645820,Bookstore,AIT-2702,Blue,Pickup Truck,"[""Dented rear bumper"", ""Tow hitch""]"
1787645820,Office Back Alley,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787645820,Office Back Alley,QDH-4925,Red,Van,[]
1787645850,Bookstore,EHW-3879,Maroon,Coupe,[]
1787645850,Office Back Alley,ABS-2643,Gold,Pickup Truck,"[""Tow hitch"", ""Missing hubcap""]"
1787645880,Office Back Alley,BPU-4332,White,Motorcycle,[]
1787645940,Bookstore,CZA-9416,Black,Bus,[]
1787645970,Hospital,BGW-3337,Silver,Bus,"[""Bumper sticker""]"
1787646000,Office Back Alley,EQL-6876,Green,Bus,"[""Cracked windshield""]"
1787646000,Office Back Alley,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787646030,Office Back Alley,BPU-4332,White,Motorcycle,[]
1787646090,Office Back Alley,EUA-8367,Gold,Motorcycle,"[""Ladder rack""]"
1787646150,Bookstore,FCH-7617,Maroon,Sedan,[]
1787646180,Bookstore,QDH-4925,Red,Van,[]
1787646180,Office Back Alley,LHA-6933,Gray,Bus,"[""Missing hubcap""]"
1787646210,Bookstore,GEZ-2109,Red,Motorcycle,"[""Missing hubcap"", ""Dented rear bumper""]"
1787646270,Bookstore,VAP-5225,Silver,Hatchback,"[""Cracked windshield"", ""Tinted windows""]"
1787646270,Bookstore,CIU-8112,Maroon,Bus,"[""Dented rear bumper"", ""Tow hitch""]"
1787646390,Office Back Alley,RRT-3341,Red,Sedan,"[""Tinted windows"", ""Dented rear bumper""]"
1787646450,Office Back Alley,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787646510,Bookstore,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787646510,Office Back Alley,OYU-1228,Maroon,Bus,[]
1787646540,Office Back Alley,ROX-9271,Gray,Coupe,"[""Custom rims"", ""Roof rack""]"
1787646540,Bookstore,LUG-7654,Black,Bus,"[""Bumper sticker""]"
1787646540,Bookstore,XOW-5609,Gray,Sedan,"[""Sunroof"", ""Roof rack""]"
1787646540,Bookstore,KES-9323,Maroon,Bus,"[""Spoiler"", ""Missing hubcap""]"
1787646570,Hospital,DOP-3475,Silver,SUV,[]
1787646570,Office Back Alley,VKM-8657,Blue,Sedan,"[""Custom rims""]"
1787646630,Office Back Alley,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787646660,Hospital,HQY-7996,Maroon,Motorcycle,[]
1787646720,Office Back Alley,QDH-4925,Red,Van,[]
1787646750,Hospital,BLF-4771,Gray,Sedan,[]
1787646780,Office Back Alley,EYH-6407,Black,Bus,"[""Custom rims"", ""Tinted windows""]"
1787646780,Hospital,ZNI-4355,Blue,Coupe,[]
1787646810,Bookstore,UHR-2612,White,Pickup Truck,[]
1787646810,Office Back Alley,EQL-6876,Green,Bus,"[""Cracked windshield""]"
1787646870,Bookstore,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787646960,Office Back Alley,VJM-7944,Beige,Sedan,[]
1787646960,Office Back Alley,ZFD-3277,Green,Hatchback,"[""Bumper sticker"", ""Missing hubcap""]"
1787646960,Bookstore,KNM-8888,Gray,Sedan,"[""Ladder rack"", ""Aftermarket exhaust""]"
1787646960,Bookstore,BTZ-5167,Silver,Coupe,[]
1787646990,Hospital,EJJ-5605,Red,Bus,"[""Tinted windows"", ""Aftermarket exhaust""]"
1787646990,Bookstore,TXI-5471,White,Pickup Truck,[]
1787646990,Bookstore,ZIG-1175,Black,Bus,[]
1787647110,Office Back Alley,EVV-3567,Blue,SUV,"[""Aftermarket exhaust""]"
1787647170,Office Back Alley,OYU-1228,Maroon,Bus,[]
1787647170,Office Back Alley,FCH-7617,Maroon,Sedan,[]
1787647170,Hospital,OYU-1228,Maroon,Bus,[]
1787647200,Bookstore,HQY-7996,Maroon,Motorcycle,[]
1787647200,Bookstore,IMH-7658,Gray,Hatchback,"[""Tinted windows""]"
1787647200,Office Back Alley,BLF-4771,Gray,Sedan,[]
1787647230,Office Back Alley,EUA-8367,Gold,Motorcycle,"[""Ladder rack""]"
1787647290,Hospital,EHW-3879,Maroon,Coupe,[]
1787647290,Hospital,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787647320,Hospital,FYR-2853,Gold,SUV,"[""Missing hubcap"", ""Aftermarket exhaust""]"
1787647350,Hospital,NUN-3923,Silver,Motorcycle,"[""Roof rack"", ""Sunroof""]"
1787647380,Bookstore,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787647410,Bookstore,DYT-5541,Maroon,Hatchback,[]
1787647440,Hospital,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787647440,Hospital,TQP-8061,Silver,Hatchback,"[""Tinted windows""]"
1787647530,Hospital,BPU-4332,White,Motorcycle,[]
1787647530,Office Back Alley,ZNI-4355,Blue,Coupe,[]
1787647590,Bookstore,IMH-7658,Gray,Hatchback,"[""Tinted windows""]"
1787647590,Bookstore,YJG-1440,Black,Sedan,"[""Tinted windows"", ""Bumper sticker""]"
1787647590,Office Back Alley,BPU-4332,White,Motorcycle,[]
1787647650,Office Back Alley,QLL-8894,Black,Coupe,"[""Spoiler"", ""Bumper sticker""]"
1787647650,Office Back Alley,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787647740,Bookstore,NKO-5227,Gray,Motorcycle,"[""Roof rack""]"
1787647890,Bookstore,BTZ-5167,Silver,Coupe,[]
1787647920,Bookstore,UJS-4783,Red,Bus,"[""Spoiler""]"
1787647920,Office Back Alley,HQY-7996,Maroon,Motorcycle,[]
1787647920,Office Back Alley,ZNI-4355,Blue,Coupe,[]
1787647980,Hospital,QDH-4925,Red,Van,[]
1787648010,Office Back Alley,OYU-1228,Maroon,Bus,[]
1787648010,Office Back Alley,LHA-6933,Gray,Bus,"[""Missing hubcap""]"
1787648130,Bookstore,FHL-3560,Silver,Van,[]
1787648160,Bookstore,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787648280,Office Back Alley,LUG-7654,Black,Bus,"[""Bumper sticker""]"
1787648280,Office Back Alley,HQY-7996,Maroon,Motorcycle,[]
1787648310,Office Back Alley,EYH-6407,Black,Bus,"[""Custom rims"", ""Tinted windows""]"
1787648400,Bookstore,WNV-7840,Red,Motorcycle,"[""Bumper sticker""]"
1787648430,Hospital,EQL-6876,Green,Bus,"[""Cracked windshield""]"
1787648430,Hospital,NYF-1596,Silver,Pickup Truck,"[""Bumper sticker""]"
1787648430,Office Back Alley,RRT-3341,Red,Sedan,"[""Tinted windows"", ""Dented rear bumper""]"
1787648460,Hospital,BLF-4771,Gray,Sedan,[]
1787648550,Office Back Alley,UHR-2612,White,Pickup Truck,[]
1787648550,Bookstore,KOE-4072,Beige,Pickup Truck,[]
1787648610,Bookstore,YTG-6287,Green,Coupe,"[""Bumper sticker"", ""Tow hitch""]"
1787648700,Office Back Alley,KNM-8888,Gray,Sedan,"[""Ladder rack"", ""Aftermarket exhaust""]"
1787648730,Hospital,EVV-3567,Blue,SUV,"[""Aftermarket exhaust""]"
1787648790,Office Back Alley,OYU-1228,Maroon,Bus,[]
1787648940,Bookstore,IUT-7188,Gray,Bus,"[""Sunroof""]"
1787649000,Bookstore,UJS-4783,Red,Bus,"[""Spoiler""]"
1787649090,Bookstore,HUK-4229,White,Coupe,"[""Tinted windows""]"
1787649090,Office Back Alley,ROX-9271,Gray,Coupe,"[""Custom rims"", ""Roof rack""]"
1787649150,Bookstore,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787649210,Office Back Alley,DYT-5541,Maroon,Hatchback,[]
1787649240,Office Back Alley,EWE-8741,Blue,Bus,"[""Custom rims""]"
1787649300,Bookstore,LXQ-7888,Black,Van,[]
1787649360,Office Back Alley,YJG-1440,Black,Sedan,"[""Tinted windows"", ""Bumper sticker""]"
1787649570,Hospital,QLL-8894,Black,Coupe,"[""Spoiler"", ""Bumper sticker""]"
1787649570,Hospital,HQY-7996,Maroon,Motorcycle,[]
1787649630,Hospital,LHA-6933,Gray,Bus,"[""Missing hubcap""]"
1787649630,Hospital,BPU-4332,White,Motorcycle,[]
1787649690,Hospital,WUB-4659,Black,Pickup Truck,"[""Sunroof""]"
1787649690,Bookstore,BPU-4332,White,Motorcycle,[]
1787649840,Bookstore,ZGK-3461,Blue,Van,[]
1787649900,Office Back Alley,FHL-3560,Silver,Van,[]
1787649960,Bookstore,TBJ-5379,Green,Coupe,"[""Bumper sticker""]"
1787650170,Office Back Alley,WNV-7840,Red,Motorcycle,"[""Bumper sticker""]"
1787650290,Bookstore,AIT-2702,Blue,Pickup Truck,"[""Dented rear bumper"", ""Tow hitch""]"
1787650320,Office Back Alley,RBG-4071,Blue,Bus,"[""Bumper sticker"", ""Ladder rack""]"
1787650320,Office Back Alley,KOE-4072,Beige,Pickup Truck,[]
1787650590,Bookstore,NKO-5227,Gray,Motorcycle,"[""Roof rack""]"
1787650650,Bookstore,GEZ-2109,Red,Motorcycle,"[""Missing hubcap"", ""Dented rear bumper""]"
1787650710,Bookstore,KES-9323,Maroon,Bus,"[""Spoiler"", ""Missing hubcap""]"
1787650710,Hospital,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787650740,Office Back Alley,UJS-4783,Red,Bus,"[""Spoiler""]"
1787650740,Office Back Alley,IUT-7188,Gray,Bus,"[""Sunroof""]"
1787650830,Hospital,DOP-3475,Silver,SUV,[]
1787650860,Hospital,EWE-8741,Blue,Bus,"[""Custom rims""]"
1787650890,Office Back Alley,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787650980,Hospital,YJG-1440,Black,Sedan,"[""Tinted windows"", ""Bumper sticker""]"
1787651010,Bookstore,CIU-8112,Maroon,Bus,"[""Dented rear bumper"", ""Tow hitch""]"
1787651100,Bookstore,ZIG-1175,Black,Bus,[]
1787651190,Office Back Alley,QLL-8894,Black,Coupe,"[""Spoiler"", ""Bumper sticker""]"
1787651460,Bookstore,DYT-5541,Maroon,Hatchback,[]
1787651460,Office Back Alley,BPU-4332,White,Motorcycle,[]
1787651520,Hospital,FHL-3560,Silver,Van,[]
1787651550,Office Back Alley,DYT-5541,Maroon,Hatchback,[]
1787651580,Hospital,BGW-3337,Silver,Bus,"[""Bumper sticker""]"
1787651850,Bookstore,VDV-4194,White,Coupe,[]
1787651910,Hospital,ZNI-4355,Blue,Coupe,[]
1787652030,Hospital,KES-9323,Maroon,Bus,"[""Spoiler"", ""Missing hubcap""]"
1787652060,Office Back Alley,AIT-2702,Blue,Pickup Truck,"[""Dented rear bumper"", ""Tow hitch""]"
1787652060,Hospital,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787652210,Bookstore,RTJ-3423,Gold,Sedan,[]
1787652420,Office Back Alley,GEZ-2109,Red,Motorcycle,"[""Missing hubcap"", ""Dented rear bumper""]"
1787652510,Office Back Alley,KES-9323,Maroon,Bus,"[""Spoiler"", ""Missing hubcap""]"
1787652690,Hospital,QDH-4925,Red,Van,[]
1787652870,Office Back Alley,ZIG-1175,Black,Bus,[]
1787653020,Hospital,NYF-1596,Silver,Pickup Truck,"[""Bumper sticker""]"
1787653170,Hospital,DYT-5541,Maroon,Hatchback,[]
1787653290,Hospital,TQP-8061,Silver,Hatchback,"[""Tinted windows""]"
1787653650,Office Back Alley,VDV-4194,White,Coupe,[]
1787653680,Office Back Alley,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787653680,Hospital,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787653680,Hospital,AIT-2702,Blue,Pickup Truck,"[""Dented rear bumper"", ""Tow hitch""]"
1787653860,Hospital,BLF-4771,Gray,Sedan,[]
1787654640,Office Back Alley,NYF-1596,Silver,Pickup Truck,"[""Bumper sticker""]"
1787654850,Bookstore,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787654910,Office Back Alley,TQP-8061,Silver,Hatchback,"[""Tinted windows""]"
1787655450,Hospital,EHW-3879,Maroon,Coupe,[]
1787655480,Office Back Alley,BLF-4771,Gray,Sedan,[]
1787655720,Bookstore,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787656650,Office Back Alley,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787657520,Office Back Alley,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787677440,Hospital,ZNI-4355,Blue,Coupe,[]
1787677740,Office Back Alley,WNV-7840,Red,Motorcycle,"[""Bumper sticker""]"
1787677890,Hospital,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787678070,Hospital,EHW-3879,Maroon,Coupe,[]
