unix_timestamp,camera_id,vehicle_plate,vehicle_color,vehicle_type,vehicle_features
1787637840,1,VJM-7944,Beige,Sedan,[]
1787637870,1,EUA-8367,Gold,Motorcycle,"[""Ladder rack""]"
1787638080,1,HQY-7996,Maroon,Motorcycle,[]
1787638620,1,DOP-3475,Silver,SUV,[]
1787638680,1,OYU-1228,Maroon,Bus,[]
1787638830,1,FYR-2853,Gold,SUV,"[""Missing hubcap"", ""Aftermarket exhaust""]"
1787638890,3,VJM-7944,Beige,Sedan,[]
1787638980,3,BLF-4771,Gray,Sedan,[]
1787638980,3,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787639010,2,BPU-4332,White,Motorcycle,[]
1787639130,3,BTZ-5167,Silver,Coupe,[]
1787639160,2,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787639190,1,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787639280,2,KES-9323,Maroon,Bus,"[""Spoiler"", ""Missing hubcap""]"
1787639340,3,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787639670,3,HQY-7996,Maroon,Motorcycle,[]
1787639730,1,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787639850,3,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787640000,2,LHA-6933,Gray,Bus,"[""Missing hubcap""]"
1787640210,3,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787640300,3,ZFD-3277,Green,Hatchback,"[""Bumper sticker"", ""Missing hubcap""]"
1787640510,3,VJM-7944,Beige,Sedan,[]
1787640600,5,BPU-4332,White,Motorcycle,[]
1787640600,2,UHR-2612,White,Pickup Truck,[]
1787640750,1,FCH-7617,Maroon,Sedan,[]
1787640750,5,IRY-6538,Gold,Coupe,"[""Sunroof"", ""Custom rims""]"
1787640810,1,HQY-7996,Maroon,Motorcycle,[]
1787640870,5,KES-9323,Maroon,Bus,"[""Spoiler"", ""Missing hubcap""]"
1787641140,3,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787641170,1,VQJ-3851,Beige,Hatchback,[]
1787641230,2,EWE-8741,Blue,Bus,"[""Custom rims""]"
1787641290,2,RQA-7745,Red,Motorcycle,"[""Sunroof""]"
1787641440,3,BLF-4771,Gray,Sedan,[]
1787641470,5,HQY-7996,Maroon,Motorcycle,[]
1787641500,3,ZFD-3277,Green,Hatchback,"[""Bumper sticker"", ""Missing hubcap""]"
1787641590,5,LHA-6933,Gray,Bus,"[""Missing hubcap""]"
1787641680,4,YJG-1440,Black,Sedan,"[""Tinted windows"", ""Bumper sticker""]"
1787641830,4,EHW-3879,Maroon,Coupe,[]
1787641890,3,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787642070,3,FHL-3560,Silver,Van,[]
1787642100,3,EQL-6876,Green,Bus,"[""Cracked windshield""]"
1787642130,3,DYT-5541,Maroon,Hatchback,[]
1787642190,5,UHR-2612,White,Pickup Truck,[]
1787642220,3,RRC-4766,Blue,Coupe,"[""Tinted windows"", ""Tow hitch""]"
1787642310,1,EYH-6407,Black,Bus,"[""Custom rims"", ""Tinted windows""]"
1787642310,5,VJM-7944,Beige,Sedan,[]
1787642340,4,BLF-4771,Gray,Sedan,[]
1787642340,3,OGN-4489,Black,Pickup Truck,"[""Aftermarket exhaust"", ""Custom rims""]"
1787642340,3,FCH-7617,Maroon,Sedan,[]
1787642400,3,HQY-7996,Maroon,Motorcycle,[]
1787642460,1,RRT-3341,Red,Sedan,"[""Tinted windows"", ""Dented rear bumper""]"
1787642670,5,HQY-7996,Maroon,Motorcycle,[]
